Candidate_ID,Title,full_text_decision_category,quality_rating,total_score_out_of_23,RQ_alignment_0_3,AI_or_RUL_specificity_0_3,digital_twin_clarity_0_3,maintenance_decision_clarity_0_3,system_or_risk_metric_relevance_0_3,dataset_transparency_0_2,method_validation_strength_0_3,warehouse_DT_transferability_0_3,detected_methods,detected_datasets,main_quality_note
WC071,Approach for a Holistic Predictive Maintenance Strategy,Include - supporting method evidence,High,21,3,2,3,3,2,2,3,3,"Reinforcement Learning, GAN",simulation,Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC072,Building a Digital Twin Powered Intelligent Predictive Maintenance System for Industrial AC Machines,Include - core evidence,High,21,3,3,3,3,2,2,3,2,"LSTM, Transformer, SHAP, GAN, SVM","IMS, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC073,Robotic Cell Reliability Optimization Based on Digital Twin and Predictive Maintenance,Include - core evidence,High,21,3,2,3,3,3,2,3,2,"Bayesian, Reinforcement Learning, SHAP, GAN, SVM, Genetic Algorithm","IMS, publicly available, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC074,Tool-Health Digital Twin for CNC Predictive Maintenance via Innovation-Adaptive Sensor Fusion and Uncertainty-Aware Prognostics,Include - core evidence,High,22,3,3,3,3,3,2,3,2,"LSTM, CNN, XGBoost, Autoencoder, Transformer, Bayesian, SHAP, GAN, Kalman, Physics-informed","NASA C-MAPSS, C-MAPSS, IMS, public dataset, publicly available",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC075,Health index construction with feature fusion optimization for predictive maintenance of physical systems,Include - supporting method evidence,Medium,16,2,3,1,2,1,2,3,2,"LSTM, Autoencoder, Bayesian, SHAP, GAN, SVM, Kalman, Health Index","XJTU-SY, PRONOSTIA, IMS, publicly available, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC076,Predictive maintenance programs for aircraft engines based on remaining useful life prediction,Include - supporting method evidence,Medium,19,2,3,1,3,3,2,3,2,"LSTM, CNN, CNN-LSTM, Autoencoder, Transformer, Bayesian, GAN, PINN","CMAPSS, IMS, simulation",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC077,Research on full lifecycle health management of permanent magnet synchronous electric drum driven,Include - core evidence,High,21,3,3,3,2,2,2,3,3,"Autoencoder, Reinforcement Learning, GAN, Genetic Algorithm, Health Index, Physics-informed","IMS, publicly available, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC078,Event-Based Digital Twin State Formulation for Probabilistic Prognostics Under Sparse Industrial Sensing,Include - core evidence,High,21,3,3,3,3,2,2,3,2,"Bayesian, SHAP, GAN, SVM, Kalman","IMS, benchmark dataset, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC079,A hybrid predictive maintenance approach for CNC machine tool driven,Include - supporting method evidence,High,21,3,3,3,3,2,2,3,2,"Random Forest, Bayesian, SHAP, GAN","simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC080,A physics-informed intelligent digital twin using multi-task CNN–LSTM for acoustic emission-based fault prognostics in safety-critical systems,Include - core evidence,High,21,3,3,3,2,3,2,3,2,"LSTM, CNN, XGBoost, Transformer, Bayesian, GAN, PINN, SVM, Physics-informed","C-MAPSS, IMS, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC085,"AI-driven predictive maintenance for industry 4.0: a systematic review of models, methods, and challenges",Include - background/review evidence,High,22,3,3,2,3,3,2,3,3,"LSTM, CNN, CNN-LSTM, Random Forest, Autoencoder, Transformer, Bayesian, SHAP, GAN, SVM","IMS, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC021,Digital Twin–enabled Predictive Maintenance for High Voltage Generators and CT Tubes in Medical Imaging Manufacturing,Include - core evidence,High,21,3,3,2,3,3,2,3,2,"LSTM, CNN, CNN-LSTM, Gradient Boosting, XGBoost, Transformer","NASA C-MAPSS, C-MAPSS, simulation",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC031,A Review and Methodology Development for Remaining Useful Life Prediction of Offshore Fixed and Floating Wind turbine Power Converter with Digital Twin Technology Perspective,Include - background/review evidence,Medium,17,2,2,2,1,3,2,3,2,GAN,"simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC032,Real-Time Analytics and Digital Twin Framework for Predictive Maintenance in Electric Vehicle Fleets,Include - core evidence,Medium,19,3,2,2,2,2,2,3,3,"LSTM, Random Forest, XGBoost, GAN",simulation,Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC044,"Digital Twin Technology in Wind Turbine Condition Monitoring, Predictive Maintenance, and RUL Estimation: A Systematic Literature Review",Include - background/review evidence,High,22,3,3,3,3,3,2,3,2,"LSTM, CNN, Random Forest, XGBoost, Autoencoder, Transformer, Bayesian, GNN, Graph Neural Network, Reinforcement Learning","IMS, public dataset, publicly available, benchmark dataset, simulation",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC004,A review on prognostics and health management applications with federated learning for advanced engineering systems,Include - background/review evidence,Medium,20,3,3,2,2,3,2,3,2,"LSTM, CNN, Autoencoder, Transformer, Bayesian, Reinforcement Learning, SHAP, GAN, PINN, Kalman","C-MAPSS, PHM08, public dataset, benchmark dataset, simulation",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC008,UNFIT monitoring of roller bearing degradation: A new event-based concept for early defect detection,Include - supporting method evidence,High,21,3,3,2,3,2,2,3,3,"GAN, PINN","XJTU-SY, IMS, public dataset, publicly available, simulation",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC010,"Advanced monitoring, diagnostics, and reliability engineering in photovoltaic systems: A critical review of diagnostic-to-maintenance decision frameworks for predictive solar asset management",Include - background/review evidence,High,22,3,3,3,3,3,2,3,2,"LSTM, CNN, Random Forest, Gradient Boosting, Autoencoder, Transformer, Bayesian, SHAP, GAN, SVM","IMS, public dataset, benchmark dataset, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC050,"Digital Twin–enabled predictive maintenance in wind, solar PV, hydropower, and battery energy storage systems: a review and maturity framework",Include - background/review evidence,Medium,20,3,3,2,2,3,2,3,2,"LSTM, CNN, Autoencoder, Transformer, Bayesian, Reinforcement Learning, SHAP, GAN, PINN, Kalman","C-MAPSS, PHM08, public dataset, benchmark dataset, simulation",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC054,A data-driven predictive maintenance framework for smart buildings: Integrating digital twin and machine learning in HVAC systems,Include - core evidence,High,22,3,3,3,3,3,2,3,2,"LSTM, CNN, Random Forest, Gradient Boosting, Autoencoder, Transformer, Reinforcement Learning, Q-learning, GAN, SVM","simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC055,Intelligent defense industry-based predictive maintenance framework: Digital Twin perspective,Include - supporting method evidence,High,23,3,3,3,3,3,2,3,3,"LSTM, CNN, Random Forest, Gradient Boosting, XGBoost, Transformer, Bayesian, SHAP, GAN, SVM","IMS, public dataset, publicly available, simulation",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC062,A data-driven digital-twin prognostics method for proton exchange membrane fuel cell remaining useful life prediction,Include - supporting method evidence,Medium,18,2,3,3,1,2,2,3,2,"Autoencoder, GAN, Kalman","FEMTO, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC065,Digital twin technology in wind turbine components: A review,Include - background/review evidence,High,22,3,3,3,3,3,2,3,2,"LSTM, CNN, CNN-LSTM, Transformer, Bayesian, GNN, Graph Neural Network, Reinforcement Learning, SHAP, GAN","IMS, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC066,Digital twins for machine tools,Include - supporting method evidence,High,23,3,3,3,3,3,2,3,3,"Bayesian, Reinforcement Learning, SHAP, GAN, SVM, Kalman, Particle Swarm, Genetic Algorithm, Physics-informed","AI4I, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC068,Toward Physics-Informed Machine-Learning-Based Predictive Maintenance for Power Converters—A Review,Include - background/review evidence,High,21,3,3,2,3,3,2,3,2,"LSTM, CNN, CNN-LSTM, Random Forest, Autoencoder, Transformer, Bayesian, GNN, Graph Neural Network, SHAP","IMS, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC070,A Digital Twin for Assessing the Remaining Useful Life of Offshore Wind Turbine Structures,Include - supporting method evidence,Medium,20,3,2,3,2,3,2,3,2,GAN,"IMS, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC082,Digital twin-enhanced predictive maintenance for indoor climate: A parallel LSTM-autoencoder failure prediction approach,Include - core evidence,Medium,19,3,3,2,2,2,2,3,2,"LSTM, Random Forest, Gradient Boosting, Autoencoder, GAN, SVM","IMS, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC084,"AI-based remaining useful life prediction for civil infrastructure: methods, challenges, and future research directions",Include - supporting method evidence,High,21,3,3,2,2,3,2,3,3,"LSTM, CNN, CNN-LSTM, Random Forest, Gradient Boosting, XGBoost, Autoencoder, Transformer, Bayesian, GNN","C-MAPSS, IMS, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
