Candidate_ID,citation_key,resolution_method,title_match_score,expected_title,matched_title,year,doi,status
WC033,sharma2025,DOI,1.000,A Simulation-Based Digital Twin Framework for Predictive Maintenance of DC Motors,A Simulation-Based Digital Twin Framework for Predictive Maintenance of DC Motors,2025,10.1109/iccca66364.2025.11325720,verified
WC035,mimouh2025,DOI,1.000,Real-Time Degradation Monitoring and Prognosis of Ball Mill Liners Using a Physics-Informed Digital Twin,Real-Time Degradation Monitoring and Prognosis of Ball Mill Liners Using a Physics-Informed Digital Twin,2025,10.1109/icat2i69744.2025.11472684,verified
WC037,manzelati2025,DOI,1.000,Optimizing Predictive Maintenance Based on Digital Twins Using Artificial Intelligence Tools,Optimizing Predictive Maintenance Based on Digital Twins Using Artificial Intelligence Tools,2025,10.1109/iot69654.2025.11297603,verified
WC038,aivaliotis2019a,DOI,1.000,The use of Digital Twin for predictive maintenance in manufacturing,The use of Digital Twin for predictive maintenance in manufacturing,2019,10.1080/0951192x.2019.1686173,verified
WC039,zhong2023,DOI,1.000,Overview of predictive maintenance based on digital twin technology,Overview of predictive maintenance based on digital twin technology,2023,10.1016/j.heliyon.2023.e14534,verified
WC040,lu2023,DOI,1.000,Digital twin-driven remaining useful life prediction for rolling element bearing,Digital Twin-Driven Remaining Useful Life Prediction for Rolling Element Bearing,2023,10.3390/machines11070678,verified
WC043,wu2026,DOI,1.000,Research on Remaining Useful Life Prediction of Equipment Based on Digital Twins,Research on Remaining Useful Life Prediction of Equipment Based on Digital Twins,2026,10.3390/s26041240,verified
WC003,sayghe2026,DOI,1.000,"Reliability-aware vibration measurement framework for predictive maintenance of rotating machinery: Probability of detection, uncertainty-quantified remaining useful life, and simulator-based hardware-in-the-loop reliability evaluation","Reliability-aware vibration measurement framework for predictive maintenance of rotating machinery: Probability of detection, uncertainty-quantified remaining useful life, and simulator-based hardware-in-the-loop reliability evaluation",2026,10.1016/j.measurement.2026.122345,verified
WC011,wright2025,DOI,1.000,Remaining Useful Life Prediction through Gradient Boosting Transfer Learning for Semiconductor Digital Twins,Remaining Useful Life Prediction through Gradient Boosting Transfer Learning for Semiconductor Digital Twins,2025,10.1109/dtpi65196.2025.11088878,verified
WC012,ambreen2025,DOI,1.000,A Digital-Twin Driven Modeling Approach of System Degradation for Remaining Useful life Prediction,A Digital-Twin Driven Modeling Approach of System Degradation for Remaining Useful life Prediction,2025,10.1016/j.ifacol.2025.11.482,verified
WC013,liu2023,DOI,1.000,Digital Twin for Predictive Maintenance,Digital twin for predictive maintenance,2023,10.1117/12.2660270,verified
WC014,heim2020,DOI,1.000,Predictive Maintenance on Aircraft and Applications with Digital Twin,Predictive Maintenance on Aircraft and Applications with Digital Twin,2020,10.1109/bigdata50022.2020.9378433,verified
WC026,donghan2021,DOI,1.000,Applications and Analysis of Digital Twin in Prognostic and Health Management,Applications and Analysis of Digital Twin in Prognostic and Health Management,2021,10.1109/iceiec51955.2021.9463843,verified
WC041,he2021,DOI,1.000,Digital twin-driven remaining useful life prediction for gear performance degradation: A review,Digital Twin-Driven Remaining Useful Life Prediction for Gear Performance Degradation: A Review,2021,10.1115/1.4049537,verified
WC045,nagrani2026,DOI,1.000,Designing a framework for a data-driven digital twin model to predict remaining useful life,Designing a framework for a data-driven digital twin model to predict remaining useful life,2026,10.1108/jqme-10-2025-0127,verified
WC046,a2026,DOI,1.000,Remaining useful life aware physics-informed Bayesian digital twin for safety-constrained control in robot-integrated battery manufacturing,Remaining useful life aware physics-informed Bayesian digital twin for safety-constrained control in robot-integrated battery manufacturing,2026,10.1016/j.rcim.2026.103318,verified
WC047,ma2025,DOI,1.000,Digital twin-inspired methods for rotating machinery intelligent fault diagnosis and remaining useful life prediction: A state-of-the-art review and future challenges,Digital twin-inspired methods for rotating machinery intelligent fault diagnosis and remaining useful life prediction: A state-of-the-art review and future challenges,2025,10.1016/j.ymssp.2025.112770,verified
WC048,phutane2025,DOI,1.000,Digital twin innovations for induction motor monitoring and predictive maintenance: A 2020–2025 review,Digital twin innovations for induction motor monitoring and predictive maintenance: A 2020–2025 review,2025,10.1016/j.nexres.2025.100969,verified
WC049,vandinter2026,DOI,1.000,Reference architecture for IoT-based predictive maintenance systems using digital twins,Reference architecture for IoT-based predictive maintenance systems using digital twins,2026,10.1016/j.rineng.2026.111115,verified
WC051,kobayashi2024,DOI,1.000,"Explainable, interpretable, and trustworthy AI for an intelligent digital twin: A case study on remaining useful life","Explainable, interpretable, and trustworthy AI for an intelligent digital twin: A case study on remaining useful life",2024,10.1016/j.engappai.2023.107620,verified
WC052,williams2026,DOI,1.000,Cross-domain digital twin architecture for predictive maintenance via machine learning and Large Language Models,Cross-domain digital twin architecture for predictive maintenance via machine learning and Large Language Models,2026,10.1016/j.cie.2026.111914,verified
WC057,mayr2024,DOI,1.000,Digital Twin-based Predictive Maintenance for Sheet Metal Bending,Digital Twin-based Predictive Maintenance for Sheet Metal Bending,2024,10.1016/j.procs.2024.01.050,verified
WC058,durso2024,DOI,1.000,Predictive maintenance of standalone steel industrial components powered by a dynamic reliability digital twin model with artificial intelligence,Predictive maintenance of standalone steel industrial components powered by a dynamic reliability digital twin model with artificial intelligence,2024,10.1016/j.ress.2023.109859,verified
WC059,harries2023,DOI,1.000,Digital Twins for Predictive Maintenance,Digital Twins for Predictive Maintenance,2023,10.1016/j.procir.2023.06.053,verified
WC060,collao2025,DOI,1.000,An Agentic AI-based Architecture for Digital Twins Specialized in Predictive Maintenance: Application to Ball Mills,An Agentic AI-based Architecture for Digital Twins Specialized in Predictive Maintenance: Application to Ball Mills,2025,10.1016/j.ifacol.2025.12.403,verified
WC067,ma2024,DOI,1.000,State-of-the-art review and synthesis: A requirement-based roadmap for standardized predictive maintenance automation using digital twin technologies,State-of-the-art review and synthesis: A requirement-based roadmap for standardized predictive maintenance automation using digital twin technologies,2024,10.1016/j.aei.2024.102800,verified
WC071,werner2019,DOI,0.775,Approach for a Holistic Predictive Maintenance Strategy,Approach for a Holistic Predictive Maintenance Strategy by Incorporating a Digital Twin,2019,10.1016/j.promfg.2020.01.265,verified-title-expanded
WC072,singh2023,DOI,1.000,Building a Digital Twin Powered Intelligent Predictive Maintenance System for Industrial AC Machines,Building a Digital Twin Powered Intelligent Predictive Maintenance System for Industrial AC Machines,2023,10.3390/machines11080796,verified
WC073,mourtzis2023,DOI,1.000,Robotic Cell Reliability Optimization Based on Digital Twin and Predictive Maintenance,Robotic Cell Reliability Optimization Based on Digital Twin and Predictive Maintenance,2023,10.3390/electronics12091999,verified
WC074,cao2026,DOI,1.000,Tool-Health Digital Twin for CNC Predictive Maintenance via Innovation-Adaptive Sensor Fusion and Uncertainty-Aware Prognostics,Tool-Health Digital Twin for CNC Predictive Maintenance via Innovation-Adaptive Sensor Fusion and Uncertainty-Aware Prognostics,2026,10.3390/machines14030335,verified
WC075,nemani2022,DOI,1.000,Health index construction with feature fusion optimization for predictive maintenance of physical systems,Health index construction with feature fusion optimization for predictive maintenance of physical systems,2022,10.1007/s00158-022-03437-0,verified
WC076,xue2025,DOI,1.000,Predictive maintenance programs for aircraft engines based on remaining useful life prediction,Predictive maintenance programs for aircraft engines based on remaining useful life prediction,2025,10.1038/s41598-025-19957-w,verified
WC077,chen2025,DOI,0.843,Research on full lifecycle health management of permanent magnet synchronous electric drum driven,Research on full lifecycle health management of permanent magnet synchronous electric drum driven by digital twin with dynamic update,2025,10.1007/s10489-025-06910-7,verified-title-expanded
WC078,kim2026,DOI,1.000,Event-Based Digital Twin State Formulation for Probabilistic Prognostics Under Sparse Industrial Sensing,Event-Based Digital Twin State Formulation for Probabilistic Prognostics Under Sparse Industrial Sensing,2026,10.1109/access.2026.3699754,verified
WC079,luo2020,DOI,0.895,A hybrid predictive maintenance approach for CNC machine tool driven,A hybrid predictive maintenance approach for CNC machine tool driven by Digital Twin,2020,10.1016/j.rcim.2020.101974,verified-title-expanded
WC080,karkadakattil2026,DOI,1.000,A physics-informed intelligent digital twin using multi-task CNN–LSTM for acoustic emission-based fault prognostics in safety-critical systems,A physics-informed intelligent digital twin using multi-task CNN–LSTM for acoustic emission-based fault prognostics in safety-critical systems,2026,10.1108/jimse-10-2025-0023,verified
WC085,hamdialaoui2026,DOI,1.000,"AI-driven predictive maintenance for industry 4.0: a systematic review of models, methods, and challenges","AI-driven predictive maintenance for industry 4.0: a systematic review of models, methods, and challenges",2026,10.1007/s00170-026-17531-w,verified
WC021,shamim2025,DOI,1.000,Digital Twin–enabled Predictive Maintenance for High Voltage Generators and CT Tubes in Medical Imaging Manufacturing,Digital Twin–enabled Predictive Maintenance for High Voltage Generators and CT Tubes in Medical Imaging Manufacturing,2025,10.1109/spicscon69221.2025.11504447,verified
WC031,sivalingam2018,DOI,1.000,A Review and Methodology Development for Remaining Useful Life Prediction of Offshore Fixed and Floating Wind turbine Power Converter with Digital Twin Technology Perspective,A Review and Methodology Development for Remaining Useful Life Prediction of Offshore Fixed and Floating Wind turbine Power Converter with Digital Twin Technology Perspective,2018,10.1109/icgea.2018.8356292,verified
WC032,sharma2025a,DOI,1.000,Real-Time Analytics and Digital Twin Framework for Predictive Maintenance in Electric Vehicle Fleets,Real-Time Analytics and Digital Twin Framework for Predictive Maintenance in Electric Vehicle Fleets,2025,10.1109/icccmla66092.2025.11581253,verified
WC044,maldonadocorrea2026,DOI,1.000,"Digital Twin Technology in Wind Turbine Condition Monitoring, Predictive Maintenance, and RUL Estimation: A Systematic Literature Review","Digital Twin Technology in Wind Turbine Condition Monitoring, Predictive Maintenance, and RUL Estimation: A Systematic Literature Review",2026,10.3390/en19061477,verified
WC004,xia2026,DOI,1.000,A review on prognostics and health management applications with federated learning for advanced engineering systems,A review on prognostics and health management applications with federated learning for advanced engineering systems,2026,10.1016/j.ress.2026.112526,verified
WC008,watson2026,DOI,1.000,UNFIT monitoring of roller bearing degradation: A new event-based concept for early defect detection,UNFIT monitoring of roller bearing degradation: A new event-based concept for early defect detection,2026,10.1016/j.ymssp.2026.114371,verified
WC010,g2026,DOI,1.000,"Advanced monitoring, diagnostics, and reliability engineering in photovoltaic systems: A critical review of diagnostic-to-maintenance decision frameworks for predictive solar asset management","Advanced monitoring, diagnostics, and reliability engineering in photovoltaic systems: A critical review of diagnostic-to-maintenance decision frameworks for predictive solar asset management",2026,10.1016/j.rineng.2026.111222,verified
WC050,sulaima2026,title,1.000,"Digital Twin–enabled predictive maintenance in wind, solar PV, hydropower, and battery energy storage systems: a review and maturity framework","Digital Twin–enabled predictive maintenance in wind, solar PV, hydropower, and battery energy storage systems: a review and maturity framework",2026,10.1016/j.ecmx.2026.101920,verified
WC054,wang2026,DOI,1.000,A data-driven predictive maintenance framework for smart buildings: Integrating digital twin and machine learning in HVAC systems,A data-driven predictive maintenance framework for smart buildings: Integrating digital twin and machine learning in HVAC systems,2026,10.1016/j.jobe.2026.115416,verified
WC055,aljumah2026,DOI,1.000,Intelligent defense industry-based predictive maintenance framework: Digital Twin perspective,Intelligent defense industry-based predictive maintenance framework: Digital Twin perspective,2026,10.1016/j.measurement.2026.121436,verified
WC062,meraghni2021,DOI,1.000,A data-driven digital-twin prognostics method for proton exchange membrane fuel cell remaining useful life prediction,A data-driven digital-twin prognostics method for proton exchange membrane fuel cell remaining useful life prediction,2021,10.1016/j.ijhydene.2020.10.108,verified
WC065,leonmedina2025,DOI,1.000,Digital twin technology in wind turbine components: A review,Digital twin technology in wind turbine components: A review,2025,10.1016/j.iswa.2025.200535,verified
WC066,verl2026,DOI,1.000,Digital twins for machine tools,Digital twins for machine tools,2026,10.1016/j.cirp.2026.05.003,verified
WC068,fassi2024,DOI,1.000,Toward Physics-Informed Machine-Learning-Based Predictive Maintenance for Power Converters—A Review,Toward Physics-Informed Machine-Learning-Based Predictive Maintenance for Power Converters—A Review,2024,10.1109/tpel.2023.3328438,verified
WC070,pachecoblazquez2024,DOI,1.000,A Digital Twin for Assessing the Remaining Useful Life of Offshore Wind Turbine Structures,A Digital Twin for Assessing the Remaining Useful Life of Offshore Wind Turbine Structures,2024,10.3390/jmse12040573,verified
WC082,hu2023,DOI,1.000,Digital twin-enhanced predictive maintenance for indoor climate: A parallel LSTM-autoencoder failure prediction approach,Digital twin-enhanced predictive maintenance for indoor climate: A parallel LSTM-autoencoder failure prediction approach,2023,10.1016/j.enbuild.2023.113738,verified
WC084,shahrivar2026,DOI,1.000,"AI-based remaining useful life prediction for civil infrastructure: methods, challenges, and future research directions","AI-based remaining useful life prediction for civil infrastructure: methods, challenges, and future research directions",2026,10.1007/s10462-026-11547-0,verified
