"Candidate_ID","title_abstract_decision","reason_category","reason_detail","next_step","relevance_tags","screening_confidence","abstract_lookup_status","abstract_source","abstract_evidence_summary"
"WC016","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Industrial transfer."
"WC017","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system."
"WC018","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC019","Exclude","Domain-specific weak fit","Re-screened using a readable page/publisher abstract. The article is mainly in a domain such as batteries, EVs, power systems, transport, buildings, or generic assets without a strong warehouse-transferable RUL/DT priority-ranking link.","Do not carry forward to full-text screening.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC020","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates Digital twin; Predictive maintenance; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","Digital twin; Predictive maintenance; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: Digital twin; Predictive maintenance; Industrial transfer."
"WC021","Maybe","Transferability uncertain","Re-screened using a readable page/publisher abstract. The study shows some relevant evidence (AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer) but the domain or decision-support link is not strong enough for final inclusion without full-text verification.","Verify full abstract/full text before final inclusion.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC022","Exclude","Domain-specific weak fit","Re-screened using a readable page/publisher abstract. The article is mainly in a domain such as batteries, EVs, power systems, transport, buildings, or generic assets without a strong warehouse-transferable RUL/DT priority-ranking link.","Do not carry forward to full-text screening.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system."
"WC023","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates AI/ML; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC024","Exclude","Domain-specific weak fit","Re-screened using a readable page/publisher abstract. The article is mainly in a domain such as batteries, EVs, power systems, transport, buildings, or generic assets without a strong warehouse-transferable RUL/DT priority-ranking link.","Do not carry forward to full-text screening.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system."
"WC025","Exclude","Domain-specific weak fit","Re-screened using a readable page/publisher abstract. The article is mainly in a domain such as batteries, EVs, power systems, transport, buildings, or generic assets without a strong warehouse-transferable RUL/DT priority-ranking link.","Do not carry forward to full-text screening.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC026","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates RUL/prognostics; Digital twin, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","RUL/prognostics; Digital twin","Medium","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: RUL/prognostics; Digital twin."
"WC027","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC028","Exclude","Weak RQ fit after abstract check","Re-screened using a readable page/publisher abstract. The relevance to RUL-based maintenance prioritisation in a conceptual warehouse digital twin remains too weak after checking the available abstract/snippet evidence.","Do not carry forward to full-text screening.","AI/ML; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC029","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC030","Include","Core review/framework source","Re-screened using a readable page/publisher abstract. Evidence indicates RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC031","Maybe","Transferability uncertain","Re-screened using a readable page/publisher abstract. The study shows some relevant evidence (RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system) but the domain or decision-support link is not strong enough for final inclusion without full-text verification.","Verify full abstract/full text before final inclusion.","RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system."
"WC032","Maybe","Transferability uncertain","Re-screened using a readable page/publisher abstract. The study shows some relevant evidence (AI/ML; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer) but the domain or decision-support link is not strong enough for final inclusion without full-text verification.","Verify full abstract/full text before final inclusion.","AI/ML; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC033","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC034","Exclude","Domain-specific weak fit","Re-screened using a readable page/publisher abstract. The article is mainly in a domain such as batteries, EVs, power systems, transport, buildings, or generic assets without a strong warehouse-transferable RUL/DT priority-ranking link.","Do not carry forward to full-text screening.","AI/ML; Digital twin; Predictive maintenance; Decision/risk/system","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; Digital twin; Predictive maintenance; Decision/risk/system."
"WC035","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC036","Exclude","Domain-specific weak fit","Re-screened using a readable page/publisher abstract. The article is mainly in a domain such as batteries, EVs, power systems, transport, buildings, or generic assets without a strong warehouse-transferable RUL/DT priority-ranking link.","Do not carry forward to full-text screening.","AI/ML; RUL/prognostics; Predictive maintenance; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; RUL/prognostics; Predictive maintenance; Industrial transfer."
"WC037","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates AI/ML; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC038","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates RUL/prognostics; Digital twin; Predictive maintenance; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","RUL/prognostics; Digital twin; Predictive maintenance; Industrial transfer","High","full_or_page_abstract","page meta: dc.Description","Full/page abstract reviewed; source: page meta: dc.Description; evidence terms: RUL/prognostics; Digital twin; Predictive maintenance; Industrial transfer."
"WC039","Include","Core review/framework source","Re-screened using a readable page/publisher abstract. Evidence indicates RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: citation_abstract","Full/page abstract reviewed; source: page meta: citation_abstract; evidence terms: RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC040","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: description","Full/page abstract reviewed; source: page meta: description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC041","Include","Core review/framework source","Re-screened using a Warwick Library Search snippet/context record. Evidence indicates RUL/prognostics; Digital twin, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","RUL/prognostics; Digital twin","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: RUL/prognostics; Digital twin."
"WC042","Exclude","Weak RQ fit after abstract check","Re-screened using a readable page/publisher abstract. The relevance to RUL-based maintenance prioritisation in a conceptual warehouse digital twin remains too weak after checking the available abstract/snippet evidence.","Do not carry forward to full-text screening.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: DC.Description","Full/page abstract reviewed; source: page meta: DC.Description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC043","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system","High","full_or_page_abstract","page meta: description","Full/page abstract reviewed; source: page meta: description; evidence terms: RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system."
"WC044","Maybe","Transferability uncertain","Re-screened using a readable page/publisher abstract. The study shows some relevant evidence (AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer) but the domain or decision-support link is not strong enough for final inclusion without full-text verification.","Verify full abstract/full text before final inclusion.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: description","Full/page abstract reviewed; source: page meta: description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC045","Include","Direct RUL/DT/PdM relevance","Re-screened using a Warwick Library Search snippet/context record. Evidence indicates RUL/prognostics; Digital twin; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","RUL/prognostics; Digital twin; Decision/risk/system; Industrial transfer","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: RUL/prognostics; Digital twin; Decision/risk/system; Industrial transfer."
"WC046","Include","Direct RUL/DT/PdM relevance","Re-screened using a Warwick Library Search snippet/context record. Evidence indicates AI/ML; RUL/prognostics; Digital twin; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; RUL/prognostics; Digital twin; Decision/risk/system; Industrial transfer","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: AI/ML; RUL/prognostics; Digital twin; Decision/risk/system; Industrial transfer."
"WC047","Include","Core review/framework source","Re-screened using a Warwick Library Search snippet/context record. Evidence indicates RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC048","Include","Core review/framework source","Re-screened using a Warwick Library Search snippet/context record. Evidence indicates Digital twin; Predictive maintenance; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","Digital twin; Predictive maintenance; Industrial transfer","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: Digital twin; Predictive maintenance; Industrial transfer."
"WC049","Include","Direct RUL/DT/PdM relevance","Re-screened using a Warwick Library Search snippet/context record. Evidence indicates Digital twin; Predictive maintenance, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","Digital twin; Predictive maintenance","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: Digital twin; Predictive maintenance."
"WC050","Maybe","Transferability uncertain","Re-screened using a Warwick Library Search snippet/context record. The study shows some relevant evidence (Digital twin; Predictive maintenance; Decision/risk/system) but the domain or decision-support link is not strong enough for final inclusion without full-text verification.","Verify full abstract/full text before final inclusion.","Digital twin; Predictive maintenance; Decision/risk/system","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: Digital twin; Predictive maintenance; Decision/risk/system."
"WC051","Include","Direct RUL/DT/PdM relevance","Re-screened using a Warwick Library Search snippet/context record. Evidence indicates AI/ML; RUL/prognostics; Digital twin; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; RUL/prognostics; Digital twin; Industrial transfer","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: AI/ML; RUL/prognostics; Digital twin; Industrial transfer."
"WC052","Include","Direct RUL/DT/PdM relevance","Re-screened using a Warwick Library Search snippet/context record. Evidence indicates AI/ML; Digital twin; Predictive maintenance; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; Digital twin; Predictive maintenance; Industrial transfer","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: AI/ML; Digital twin; Predictive maintenance; Industrial transfer."
